name,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,rock_era
Anna Molly,Incubus,2006,0.15,0.7,0.46,0,0.97,0,0.73,0.08,0.87,0.09,0.7,4,0.63,Modern Rock
Break Stuff,Limp Bizkit,1999,0.11,0.87,0.44,0.01,0.89,0,0.73,0.16,0.75,0.24,0.5,4,0.63,Sweet Rock
Need You Tonight,INXS,1987,0.12,0.81,0.81,0.04,0.63,0.58,0.91,0.08,0.74,0.15,0.5,4,0.79,Sweet Rock
Who Do You Love,Bo Diddley,1958,0.1,0.52,0.65,0.87,0.73,0,0.09,0.1,0.56,0.08,0.52,4,0.69,Old Rock
Unbelievable,EMF,1991,0.14,0.74,0.65,0,0.85,0.04,0.09,0.13,0.75,0.07,0.48,4,0.95,Sweet Rock
Waterloo,ABBA,1974,0.11,0.71,0.45,0.43,0.93,0,0.18,0.23,0.81,0.08,0.68,4,0.79,Old Rock
Perfect Situation,Weezer,2005,0.17,0.64,0.48,0.03,0.81,0,0.55,0.19,0.83,0.06,0.43,4,0.41,Modern Rock
Maps,Yeah Yeah Yeahs,2003,0.15,0.79,0.51,0,0.94,0.32,0.64,0.55,0.8,0.13,0.55,4,0.13,Modern Rock
Rocket Queen,Guns N' Roses,1987,0.25,0.69,0.45,0.02,0.95,0.25,0.91,0.01,0.72,0.07,0.51,4,0.44,Sweet Rock
Heart Full of Soul,The Yardbirds,2002,0.1,0.65,0.5,0.23,0.67,0,0.82,0.04,0.66,0.06,0.65,4,0.71,Modern Rock
I Fought the Law,The Clash,2013,0.11,0.75,0.53,0.01,0.9,0,0.18,0.13,0.75,0.1,0.69,4,0.89,Modern Rock
My Own Prison,Creed,1997,0.2,0.74,0.51,0.03,0.78,0,0.91,0.1,0.81,0.07,0.64,4,0.29,Sweet Rock
Graceland,Paul Simon,1986,0.2,0.79,0.74,0.63,0.71,0,0.82,0.07,0.68,0.06,0.54,4,0.86,Sweet Rock
Rehab,Amy Winehouse,2006,0.14,0.81,0.44,0.05,0.87,0,0,0.39,0.86,0.13,0.33,4,0.74,Modern Rock
Carry On,"Crosby, Stills, Nash & Young",1970,0.18,0.7,0.47,0.06,0.49,0,0.09,0.26,0.59,0.07,0.54,4,0.54,Old Rock
Creep - 2017 Remaster,Stone Temple Pilots,1992,0.23,0.71,0.67,0,0.48,0,0.36,0.07,0.68,0.06,0.49,4,0.17,Sweet Rock
Ruby Soho,Rancid,1995,0.1,0.7,0.51,0.02,0.94,0,0.64,0.17,0.79,0.08,0.74,4,0.97,Sweet Rock
California Girls - Remix/Remastered,The Beach Boys,1965,0.1,0.69,0.51,0.47,0.62,0,1,0.15,0.77,0.05,0.54,4,0.72,Old Rock
Plug in Baby,Muse,2001,0.15,0.79,0.41,0,0.97,0,0.18,0.1,0.82,0.09,0.62,4,0.35,Sweet Rock
The Chemicals Between Us - Remastered,Bush,1999,0.14,0.57,0.52,0,0.96,0.07,0.64,0.26,0.83,0.27,0.45,4,0.39,Sweet Rock
Supermassive Black Hole,Muse,2006,0.14,0.87,0.68,0.05,0.92,0.01,0.64,0.08,0.84,0.08,0.55,4,0.79,Modern Rock
Money (That's What I Want) - Single Version / Mono,Barrett Strong,2004,0.1,0.57,0.65,0.25,0.93,0,0.45,0.14,0.85,0.07,0.61,4,0.96,Modern Rock
Lonely Teardrops,Jackie Wilson,2006,0.11,0.52,0.6,0.6,0.58,0,0.64,0.78,0.81,0.23,0.63,4,0.92,Modern Rock
You're Going Down,Sick Puppies,2010,0.12,0.76,0.49,0.01,0.84,0,0.55,0.14,0.77,0.09,0.41,4,0.41,Modern Rock
Face to the Floor,Chevelle,2011,0.15,0.71,0.52,0,0.86,0.1,0.45,0.48,0.81,0.09,0.42,4,0.68,Modern Rock
The Rockafeller Skank,Fatboy Slim,1998,0.28,0.61,0.67,0.01,0.99,0,0.64,0.33,0.75,0.47,0.7,4,0.07,Sweet Rock
Everyday People,Various Artists,1999,0.09,0.75,0.82,0.25,0.62,0.02,0.64,0.1,0.71,0.05,0.53,4,0.78,Sweet Rock
Close To Me,The Cure,1985,0.13,0.82,0.73,0.07,0.52,0.71,1,0.07,0.62,0.21,0.85,4,0.97,Sweet Rock
Mother,Danzig,1988,0.14,0.82,0.37,0.01,0.76,0,1,0.08,0.67,0.11,0.68,4,0.35,Sweet Rock
The Show Must Go On - Remastered 2011,Queen,1991,0.19,0.67,0.31,0.42,0.69,0,1,0.1,0.75,0.06,0.38,4,0.18,Sweet Rock
Don't Worry Baby - Remastered 2001,The Beach Boys,1964,0.11,0.76,0.49,0.07,0.46,0.01,0.36,0.09,0.66,0.05,0.56,4,0.86,Old Rock
"Rock and Roll, Hoochie Koo",Rick Derringer,1973,0.15,0.63,0.44,0.15,0.88,0.01,0.82,0.09,0.69,0.17,0.91,4,0.57,Old Rock
Block Rockin' Beats,The Chemical Brothers,2008,0.2,0.65,0.61,0.02,0.98,0.5,0.09,0.17,0.84,0.11,0.5,4,0.82,Modern Rock
Nookie,Limp Bizkit,1999,0.19,0.79,0.58,0,0.93,0.07,1,0.72,0.77,0.15,0.45,4,0.29,Sweet Rock
Already Gone - 2013 Remaster,Eagles,1974,0.17,0.68,0.47,0.01,0.81,0,0.64,0.4,0.76,0.08,0.67,4,0.82,Old Rock
Cheap Sunglasses,ZZ Top,2014,0.1,0.43,0.71,0.13,0.58,0,0.45,0.28,0.64,0.1,0.43,4,0.94,Modern Rock
Do You Realize??,The Flaming Lips,2002,0.14,0.76,0.47,0.01,0.8,0,0,0.39,0.79,0.06,0.6,4,0.55,Modern Rock
Someday,Nickelback,2003,0.14,0.83,0.46,0,0.86,0,1,0.22,0.78,0.07,0.75,4,0.6,Modern Rock
West End Girls - 2001 Remaster,Pet Shop Boys,2003,0.16,0.42,0.66,0.01,0.95,0.06,0.36,0.09,0.75,0.07,0.52,4,0.61,Modern Rock
Rainy Day Women #12 & 35,Bob Dylan,1966,0.18,0.58,0.56,0.46,0.59,0,0.45,0.05,0.73,0.06,0.44,4,0.59,Old Rock
Prayer,Disturbed,2002,0.15,0.68,0.66,0,0.92,0,0.82,0.01,0.81,0.13,0.45,4,0.59,Modern Rock
The Letter,The Box Tops,1967,0.07,0.75,0.65,0.25,0.43,0,0.82,0.12,0.6,0.12,0.64,4,0.91,Old Rock
The Trooper - 2015 Remaster,Iron Maiden,1983,0.17,0.86,0.29,0.03,0.91,0.01,0.36,0.3,0.81,0.13,0.73,4,0.68,Sweet Rock
Cars,Gary Numan,1979,0.16,0.76,0.55,0.01,0.58,0,0.18,0.06,0.69,0.07,0.59,4,0.83,Old Rock
The Long Run - 2013 Remaster,Eagles,1979,0.15,0.67,0.81,0.14,0.52,0.01,0,0.07,0.72,0.05,0.46,4,0.98,Old Rock
Big Yellow Taxi,Joni Mitchell,1970,0.09,0.83,0.62,0.58,0.47,0,0.36,0.58,0.68,0.06,0.39,4,0.98,Old Rock
Blue Suede Shoes,Elvis Presley,1956,0.08,0.73,0.56,0.66,0.66,0,0.18,0.13,0.72,0.1,0.44,4,0.97,Old Rock
Green-Eyed Lady,Sugarloaf,1970,0.15,0.6,0.57,0.18,0.52,0.03,0.64,0.05,0.57,0.22,0.69,4,0.9,Old Rock
Yakety Yak,The Coasters,2005,0.07,0.69,0.72,0.71,0.67,0,0.64,0.03,0.67,0.23,0.55,4,0.99,Modern Rock
Share the Land,The Guess Who,1970,0.16,0.51,0.45,0.56,0.74,0,0.55,0.52,0.84,0.05,0.37,4,0.68,Old Rock
Black Betty,Ram Jam,1990,0.16,0.8,0.47,0.02,0.87,0,1,0.07,0.67,0.18,0.54,4,0.68,Sweet Rock
Devil Inside,INXS,1987,0.21,0.65,0.6,0,0.58,0.46,0,0.09,0.73,0.07,0.69,4,0.54,Sweet Rock
All Mixed Up,311,1995,0.12,0.74,0.77,0.01,0.7,0,0.91,0.37,0.67,0.13,0.42,4,0.67,Sweet Rock
Could You Be Loved,Bob Marley & The Wailers,1980,0.16,0.9,0.93,0.36,0.72,0,0,0.08,0.7,0.18,0.47,4,0.77,Old Rock
Sour Times,Portishead,1994,0.17,0.71,0.71,0.05,0.63,0.27,0.73,0.26,0.75,0.07,0.43,4,0.56,Sweet Rock
I Ran,Various Artists,2008,0.15,0.67,0.53,0,0.86,0.88,0.82,0.16,0.8,0.06,0.67,4,0.68,Modern Rock
Urgent,Foreigner,1981,0.18,0.7,0.87,0.34,0.8,0.01,0.36,0.07,0.78,0.06,0.53,4,0.97,Old Rock
In Memory Of Elizabeth Reed,Allman Brothers Band,1970,0.29,0.56,0.38,0.06,0.76,0.88,0.82,0.05,0.65,0.06,0.52,4,0.8,Old Rock
Learning to Fly,Pink Floyd,1987,0.2,0.69,0.45,0.25,0.56,0.03,0,0.14,0.55,0.07,0.76,4,0.48,Sweet Rock
Lakini's Juice,Live,1997,0.2,0.62,0.38,0,0.68,0.09,0.09,0.07,0.74,0.08,0.42,4,0.37,Sweet Rock
Still...You Turn Me On - 2014 Remastered Version,"Emerson, Lake & Palmer",2016,0.11,0.48,0.44,0.59,0.21,0,0.64,0.17,0.47,0.06,0.55,4,0.3,Modern Rock
Back on the Chain Gang - 2007 Remaster,Pretenders,1984,0.15,0.79,0.61,0.12,0.9,0.04,0.18,0.17,0.77,0.07,0.7,4,0.82,Sweet Rock
21 Guns,Green Day,2009,0.22,0.9,0.27,0.05,0.74,0,0.45,0.62,0.8,0.06,0.73,4,0.42,Modern Rock
Hey Jealousy,Gin Blossoms,1992,0.16,0.64,0.49,0,0.79,0,0.55,0.32,0.7,0.07,0.7,4,0.45,Sweet Rock
"Take My Breath Away - Love Theme from ""Top Gun""",Various Artists,1999,0.17,0.85,0.5,0.06,0.72,0,0.55,0.4,0.67,0.05,0.44,4,0.55,Sweet Rock
Hocus Pocus,Focus,2001,0.27,0.64,0.27,0.02,0.82,0.92,0.18,0.27,0.79,0.28,0.84,4,0.4,Sweet Rock
Stop,Jane's Addiction,1990,0.17,0.67,0.44,0.01,0.75,0,0.82,0.59,0.7,0.21,0.56,4,0.37,Sweet Rock
Under the Milky Way,The Church,1988,0.2,0.74,0.59,0.06,0.58,0.2,0.82,0.11,0.56,0.05,0.62,4,0.52,Sweet Rock
Animal,Def Leppard,1987,0.16,0.74,0.59,0,0.92,0.02,1,0.18,0.79,0.09,0.55,4,0.62,Sweet Rock
Drive,The Cars,1984,0.16,0.82,0.59,0.12,0.61,0,0.55,0.14,0.66,0.05,0.51,5,0.51,Sweet Rock
Girls & Boys - Live At The BBC,Blur,2019,0.17,0.24,0.59,0.03,0.57,0,0.64,0.03,0.39,0.08,0.57,4,0.66,Modern Rock
Good Times - 2018 Remaster,CHIC,2018,0.33,0.64,0.88,0.08,0.5,0.01,0.18,0.18,0.58,0.09,0.52,4,0.92,Modern Rock
Cuts Like A Knife,Bryan Adams,1983,0.21,0.5,0.47,0.02,0.46,0,0.64,0.58,0.45,0.05,0.44,4,0.59,Sweet Rock
Câ€™Mon Everybody,Eddie Cochran,1960,0.08,0.68,0.64,0.12,0.7,0.01,0.27,0.18,0.67,0.09,0.8,4,0.86,Old Rock
What It Takes,Aerosmith,1994,0.21,0.62,0.53,0,0.73,0,0.45,0.41,0.76,0.05,0.66,4,0.35,Sweet Rock
Keep A Knockin',Little Richard,2008,0.09,0.49,0.33,0.02,0.94,0,0.73,0.08,0.71,0.19,0.78,4,0.97,Modern Rock
Armageddon It - Remastered 2017,Def Leppard,1987,0.22,0.63,0.66,0,0.92,0.03,0.82,0.12,0.77,0.07,0.55,4,0.65,Sweet Rock
Rocket 88,Elvis Presley,2018,0.11,0.38,0.54,0.59,0.64,0,0.91,0.15,0.71,0.13,0.35,4,0.82,Modern Rock
You Sexy Thing,Hot Chocolate,1975,0.16,0.85,0.8,0.52,0.73,0,0.45,0.16,0.79,0.11,0.49,4,0.97,Old Rock
Going Under,Evanescence,2003,0.14,0.83,0.37,0.01,0.86,0,1,0.22,0.8,0.1,0.8,4,0.47,Modern Rock
Cowboys from Hell,Pantera,1990,0.16,0.85,0.42,0,0.91,0.03,0.18,0.07,0.67,0.14,0.53,4,0.44,Sweet Rock
No Matter What - Remastered 2010,Badfinger,1970,0.12,0.68,0.54,0.18,0.74,0,0.82,0.06,0.79,0.09,0.54,4,0.79,Old Rock
Hit Me With Your Best Shot,Pat Benatar,1980,0.11,0.82,0.75,0.12,0.58,0,0.36,0.2,0.68,0.06,0.58,4,0.95,Old Rock
Cherry Pie,Warrant,1990,0.13,0.79,0.48,0.04,0.95,0,0.18,0.34,0.81,0.26,0.81,4,0.49,Sweet Rock
Lay Me Down - The Song Recorded Live @ TGL Farms,Rome Ramirez,2020,0.14,0.29,0.68,0.59,0.56,0,0.64,0.11,0.71,0.14,0.37,4,0.84,Modern Rock
Shimmer,Fuel,1998,0.14,0.67,0.49,0,0.79,0,0.64,0.16,0.76,0.07,0.53,4,0.47,Sweet Rock
Photograph,Nickelback,2005,0.17,0.81,0.52,0,0.88,0,0.73,0.13,0.84,0.05,0.67,4,0.39,Modern Rock
Bigmouth Strikes Again - 2011 Remaster,The Smiths,1986,0.13,0.79,0.41,0.07,0.9,0,0.09,0.53,0.8,0.07,0.62,4,0.85,Sweet Rock
All These Things That I've Done,The Killers,2004,0.2,0.76,0.56,0,0.73,0,0.55,0.11,0.77,0.07,0.54,4,0.22,Modern Rock
Such Great Heights - Remastered,The Postal Service,2003,0.18,0.68,0.65,0.05,0.81,0.19,0.45,0.05,0.74,0.09,0.8,4,0.17,Modern Rock
Higher Ground,Stevie Wonder,1973,0.15,0.76,0.73,0.06,0.85,0,0.73,0.18,0.66,0.08,0.58,4,0.83,Old Rock
Roll On Down The Highway,Bachman-Turner Overdrive,1974,0.16,0.58,0.48,0,0.82,0.01,0.64,0.3,0.6,0.05,0.64,4,0.89,Old Rock
Reet Petite,Jackie Wilson,1958,0.11,0.7,0.67,0.45,0.66,0,0.45,0.29,0.76,0.24,0.39,4,0.88,Old Rock
Ring of Fire,Johnny Cash,1963,0.1,0.85,0.67,0.63,0.58,0,0.64,0.34,0.71,0.05,0.48,4,0.79,Old Rock
Pride and Joy,Stevie Ray Vaughan,1983,0.15,0.8,0.43,0.03,0.63,0,0.73,0.1,0.6,0.07,0.58,4,0.75,Sweet Rock
What I Like About You,The Romantics,1990,0.12,0.79,0.55,0.32,0.92,0,0.82,0.16,0.67,0.1,0.73,4,0.93,Sweet Rock
Up On Cripple Creek - Remastered 2000,The Band,1969,0.18,0.5,0.73,0.23,0.72,0,0.82,0.08,0.69,0.13,0.66,4,0.96,Old Rock
Brown Eyed Handsome Man,Chuck Berry,1957,0.09,0.46,0.52,0.92,0.9,0,0.27,0.16,0.74,0.37,0.83,4,0.88,Old Rock
Left of the Dial - 2008 Remaster,The Replacements,1985,0.15,0.44,0.27,0,0.95,0.01,0.82,0.17,0.73,0.18,0.69,4,0.32,Sweet Rock
Heartbreaker,Pat Benatar,1979,0.14,0.71,0.47,0.29,0.59,0,0.45,0.04,0.64,0.15,0.72,4,0.89,Old Rock
So Lonely,The Police,1978,0.19,0.77,0.55,0.01,0.57,0,0.64,0.08,0.71,0.29,0.35,4,0.74,Old Rock
If You Could Only See,Tonic,1996,0.18,0.77,0.44,0,0.95,0,0.91,0.19,0.8,0.07,0.44,4,0.58,Sweet Rock
The Loco-Motion - Single Version,Various Artists,1963,0.1,0.56,0.64,0.68,0.89,0,0.27,0.17,0.76,0.09,0.6,4,0.9,Old Rock
Just Like Honey,The Jesus and Mary Chain,1985,0.12,0.76,0.35,0,0.55,0.62,0.73,0.05,0.64,0.08,0.56,4,0.49,Sweet Rock
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi,1990,0.23,0.77,0.56,0.06,0.62,0,0.64,0.08,0.66,0.06,0.36,4,0.43,Sweet Rock
Doll Parts,Hole,1994,0.14,0.71,0.25,0.15,0.54,0,0.64,0.09,0.74,0.06,0.94,4,0.37,Sweet Rock
Even Better Than The Real Thing,U2,1991,0.15,0.6,0.51,0,0.76,0,0.64,0.16,0.75,0.06,0.59,4,0.66,Sweet Rock
Sunny Afternoon - Mono Mix,The Kinks,1966,0.14,0.8,0.6,0.1,0.46,0,0.18,0.05,0.7,0.05,0.57,4,0.5,Old Rock
Give Peace A Chance - 2010 Remaster,Various Artists,2020,0.2,0.08,0.45,0.32,0.87,0,0.09,0.72,0.61,0.21,0.39,4,0.2,Modern Rock
Drops of Jupiter (Tell Me),Train,2001,0.17,0.93,0.47,0.15,0.64,0,0,0.14,0.78,0.05,0.36,4,0.5,Sweet Rock
You Could Be Mine,Guns N' Roses,1991,0.23,0.82,0.35,0.01,0.99,0.55,0.91,0.35,0.78,0.22,0.69,4,0.33,Sweet Rock
Baby Love,The Supremes,1964,0.1,0.81,0.6,0.76,0.64,0,0.45,0.53,0.68,0.07,0.62,4,0.74,Old Rock
Sex Type Thing - 2017 Remaster,Stone Temple Pilots,1992,0.14,0.7,0.41,0,0.93,0.63,0.82,0.03,0.73,0.07,0.62,4,0.78,Sweet Rock
What's Up?,4 Non Blondes,1992,0.2,0.94,0.57,0.16,0.56,0,0.18,0.1,0.66,0.05,0.62,4,0.46,Sweet Rock
Killing Me Softly with His Song,Roberta Flack,1973,0.19,0.87,0.48,0.73,0.38,0,0.45,0.05,0.65,0.06,0.56,4,0.33,Old Rock
Layla (Eric Clapton - Instrumental Unplugged),Michael Marc,2010,0.15,0.31,0.42,0.91,0.19,0.87,0.18,0.07,0.65,0.1,0.94,4,0.39,Modern Rock
Shapes of Things - 2015 Remaster,The Yardbirds,1964,0.09,0.52,0.44,0.25,0.82,0.01,0,0.08,0.68,0.21,0.61,4,0.38,Old Rock
The Rock Show,blink-182,2001,0.11,0.8,0.42,0,0.96,0,0.82,0.07,0.81,0.16,0.89,4,0.84,Sweet Rock
April Sun in Cuba,Dragon,1977,0.14,0.75,0.8,0.06,0.55,0,0.18,0.29,0.55,0.12,0.56,4,0.91,Old Rock
Crawling In The Dark,Hoobastank,2001,0.12,0.77,0.58,0,0.92,0,0.55,0.17,0.81,0.19,0.43,4,0.68,Sweet Rock
Fairytale of New York (In the Style Of 'The Pogues Featuring Kirsty Maccoll'),Boggle Karaoke,2010,0.16,0.14,0.41,0.32,0.46,0.91,0.18,0.23,0.66,0.05,0.55,3,0.35,Modern Rock
Duality,Slipknot,2004,0.17,0.92,0.36,0,0.98,0,0.36,0.19,0.86,0.31,0.66,4,0.2,Modern Rock
Rumble,Link Wray,2019,0.09,0.33,0.56,0.09,0.63,0,0.82,0.11,0.65,0.06,0.39,4,0.5,Modern Rock
Dead & Bloated,Various Artists,2018,0.21,0.63,0.57,0,0.81,0,0.64,0.08,0.72,0.1,0.56,3,0.56,Modern Rock
Statesboro Blues - Live at Painters Mill Music Fair - 10-17-71,Allman Brothers Band,2020,0.2,0.37,0.25,0.42,0.6,0.76,0.18,0.11,0.62,0.1,0.57,4,0.35,Modern Rock
Squeeze Box,The Who,1975,0.11,0.56,0.64,0.51,0.88,0,0.64,0.08,0.79,0.06,0.61,4,0.78,Old Rock
Rock and Roll Ain't Noise Pollution,AC/DC,1980,0.18,0.77,0.58,0.04,0.66,0,0.82,0.05,0.78,0.07,0.44,4,0.72,Old Rock
Summer in the City - Remastered,The Lovin' Spoonful,1966,0.1,0.76,0.43,0.06,0.68,0,0.91,0.08,0.66,0.07,0.51,4,0.56,Old Rock
Down By The Water - Demo,PJ Harvey,2020,0.12,0.37,0.78,0.11,0.38,0.14,0.82,0.07,0.49,0.09,0.56,4,0.87,Modern Rock
All I Want Is You,U2,1988,0.26,0.75,0.24,0.11,0.44,0.04,0.09,0.06,0.61,0.06,0.85,4,0.4,Sweet Rock
The Song Remains the Same - 1990 Remaster,Led Zeppelin,1973,0.22,0.61,0.27,0.05,0.78,0.19,0.64,0.26,0.69,0.1,0.66,4,0.68,Old Rock
I Shot The Sheriff - Live At The Roxy,Bob Marley & The Wailers,2003,0.27,0.67,0.74,0.54,0.8,0,0.55,0.71,0.79,0.21,0.64,4,0.78,Modern Rock
Can't Fight This Feeling,REO Speedwagon,1984,0.2,0.88,0.41,0.16,0.48,0,0.82,0.08,0.63,0.05,0.72,4,0.19,Sweet Rock
Smooth Criminal,Alien Ant Farm,2001,0.14,0.88,0.66,0,0.97,0.01,0.82,0.13,0.82,0.11,0.58,4,0.88,Sweet Rock
Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,1999,0.13,0.74,0.87,0.14,0.69,0,0.18,0.35,0.76,0.09,0.56,4,0.65,Sweet Rock
Bastards of Young - 2008 Remaster,The Replacements,1985,0.15,0.6,0.44,0.01,0.92,0,0.36,0.33,0.71,0.23,0.66,4,0.39,Sweet Rock
Jungle Love,Steve Miller Band,1977,0.12,0.64,0.5,0.2,0.7,0,0.64,0.75,0.59,0.4,0.67,4,0.84,Old Rock
Bad Medicine,Bon Jovi,1988,0.21,0.81,0.56,0.05,0.97,0,0.82,0.07,0.83,0.06,0.54,4,0.81,Sweet Rock
Green River,Creedence Clearwater Revival,1969,0.1,0.8,0.71,0.03,0.77,0.01,0.82,0.07,0.67,0.05,0.65,4,0.98,Old Rock
Badlands,Bruce Springsteen,1978,0.16,0.69,0.62,0.09,0.78,0,0.36,0.27,0.73,0.09,0.56,4,0.86,Old Rock
This Flight Tonight - 2010 - Remaster,Nazareth,1973,0.14,0.58,0.51,0.01,0.66,0.27,0.64,0.12,0.75,0.07,0.62,4,0.64,Old Rock
Personality Crisis,New York Dolls,1973,0.15,0.62,0.43,0.03,0.92,0,0.64,0.43,0.67,0.09,0.71,4,0.69,Old Rock
Welcome to the Black Parade,My Chemical Romance,2006,0.21,0.92,0.22,0,0.91,0,0.18,0.21,0.83,0.14,0.44,4,0.24,Modern Rock
The Fixer,Pearl Jam,2009,0.12,0.67,0.52,0,0.94,0,1,0.32,0.8,0.07,0.7,3,0.9,Modern Rock
Thunder Kiss '65,White Zombie,1992,0.16,0.77,0.69,0,0.85,0,0.82,0.53,0.66,0.07,0.52,4,0.52,Sweet Rock
Against The Wind,Bob Seger,1980,0.23,0.76,0.68,0.28,0.77,0.03,0.64,0.12,0.78,0.04,0.5,4,0.73,Old Rock
Ride My See-Saw,The Moody Blues,1968,0.15,0.56,0.34,0.08,0.87,0.3,0.45,0.85,0.65,0.07,0.71,4,0.8,Old Rock
Whiskey In The Jar,Metallica,1998,0.21,0.86,0.52,0,0.97,0,0.91,0.17,0.84,0.08,0.61,4,0.57,Sweet Rock
For Whom The Bell Tolls - Live,Metallica,2020,0.19,0.48,0.28,0,0.95,0.11,0.09,0.88,0.72,0.16,0.6,4,0.12,Modern Rock
Stagger Lee,Lloyd Price,1994,0.09,0.57,0.4,0.68,0.62,0,0.27,0.09,0.71,0.06,0.32,4,0.83,Sweet Rock
Eyes Without A Face,Billy Idol,1983,0.2,0.81,0.4,0.02,0.82,0,0.82,0.27,0.77,0.09,0.39,4,0.65,Sweet Rock
We Are Family,Sister Sledge,1979,0.14,0.83,0.79,0.3,0.89,0,0.64,0.26,0.8,0.17,0.54,4,0.83,Old Rock
Breakfast At Tiffany's,Deep Blue Something,1995,0.17,0.81,0.63,0.11,0.83,0,0.18,0.08,0.78,0.05,0.51,4,0.54,Sweet Rock
People Are People - 2006 Remaster,Depeche Mode,1984,0.15,0.62,0.69,0.09,0.83,0,0.82,0.31,0.74,0.11,0.55,4,0.82,Sweet Rock
Lips Like Sugar,Echo & the Bunnymen,1987,0.2,0.62,0.56,0,0.94,0.02,0.36,0.25,0.83,0.05,0.6,4,0.87,Sweet Rock
Streets of Philadelphia - Single Edit,Bruce Springsteen,1995,0.13,0.87,0.75,0.3,0.29,0.12,0.45,0.08,0.56,0.05,0.43,4,0.45,Sweet Rock
Just Like You,Three Days Grace,2007,0.12,0.73,0.38,0,0.74,0,0.09,0.06,0.79,0.05,0.82,4,0.57,Modern Rock
Bandages,Hot Hot Heat,2002,0.14,0.58,0.38,0.01,0.95,0,0.36,0.1,0.84,0.16,0.69,4,0.87,Modern Rock
Birdhouse in Your Soul,They Might Be Giants,1990,0.13,0.69,0.62,0,0.82,0,0.73,0.28,0.71,0.12,0.46,4,0.46,Sweet Rock
Rag Doll,Aerosmith,1987,0.18,0.71,0.59,0.59,0.96,0,0.36,0.13,0.83,0.1,0.43,4,0.59,Sweet Rock
Thick as a Brick (Pt. I) - 1997 Remaster,Jethro Tull,1972,0.94,0.56,0.44,0.16,0.46,0,0.45,0.12,0.63,0.1,0.42,4,0.65,Old Rock
Civil War,Guns N' Roses,1991,0.32,0.81,0.34,0.08,0.79,0.07,0.91,0.31,0.69,0.13,0.64,4,0.39,Sweet Rock
Elevation,U2,2000,0.15,0.7,0.59,0,0.81,0,0.82,0.04,0.71,0.07,0.51,4,0.39,Sweet Rock
The Sound of Winter - Live,Bush,2020,0.21,0.25,0.42,0,0.76,0,0.36,0.97,0.7,0.08,0.55,4,0.24,Modern Rock
Welcome Home (Sanitarium) - Remastered,Metallica,1986,0.26,0.7,0.31,0,0.77,0.1,0,0.09,0.67,0.06,0.44,4,0.42,Sweet Rock
Freewill,Rush,1980,0.22,0.67,0.49,0.01,0.94,0,0.18,0.32,0.74,0.13,0.71,4,0.69,Old Rock
How Many More Times - 1993 Remaster,Led Zeppelin,1969,0.35,0.63,0.33,0.11,0.68,0.02,0.82,0.43,0.62,0.11,0.66,4,0.52,Old Rock
Only Women Bleed,Alice Cooper,1975,0.14,0.57,0.34,0.54,0.47,0.02,0.64,0.27,0.7,0.06,0.68,4,0.19,Old Rock
Bound For The Floor,Local H,2011,0.15,0.58,0.64,0,0.49,0,0.55,0.04,0.73,0.1,0.55,4,0.55,Modern Rock
Thirteen,Big Star,1972,0.1,0.63,0.46,0.68,0.27,0,0,0.1,0.53,0.06,0.54,4,0.35,Old Rock
Be Yourself,Audioslave,2005,0.19,0.83,0.43,0.14,0.85,0,1,0.2,0.84,0.1,0.54,4,0.32,Modern Rock
Golden Slumbers / Carry That Weight - Takes 1-3 / Medley,The Beatles,2019,0.13,0.49,0.57,0.68,0.2,0,0,0.14,0.52,0.06,0.37,4,0.24,Modern Rock
Rip It Up,Little Richard,1957,0.09,0.62,0.91,0.68,0.64,0,0.45,0.01,0.77,0.11,0.44,4,0.98,Old Rock
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,1975,0.13,0.87,0.75,0.06,0.49,0,0.09,0.04,0.56,0.05,0.48,4,0.98,Old Rock
Rikki Don't Lose That Number,Steely Dan,1974,0.18,0.74,0.66,0.52,0.46,0,1,0.08,0.54,0.07,0.53,4,0.65,Old Rock
Down by the River - 2009 Remaster,Neil Young,1969,0.38,0.71,0.47,0.08,0.46,0.04,0.82,0.08,0.71,0.06,0.75,4,0.56,Old Rock
Dig,Incubus,2006,0.17,0.73,0.46,0.03,0.9,0,1,0.11,0.81,0.07,0.36,4,0.47,Modern Rock
"It's A Man's, Man's, Man's World",James Brown,1991,0.11,0.62,0.65,0.67,0.35,0,0.73,0.04,0.61,0.09,0.37,3,0.56,Sweet Rock
What's Your Name,Lynyrd Skynyrd,1977,0.14,0.63,0.65,0.61,0.57,0,0.64,0.12,0.68,0.05,0.62,4,0.94,Old Rock
Brick House,Commodores,1977,0.14,0.77,0.84,0.07,0.78,0.02,0.36,0.02,0.64,0.11,0.5,4,0.64,Old Rock
Tomorrow Never Knows - Remastered 2009,The Beatles,1966,0.12,0.68,0.39,0,0.83,0,0.45,0.33,0.77,0.07,0.58,4,0.05,Old Rock
Everyday,Buddy Holly,2018,0.09,0.26,0.6,0.27,0.29,0.02,0.27,0.1,0.59,0.06,0.62,4,0.75,Modern Rock
