name,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,rock_era
Just Like This,Limp Bizkit,1999,0.14,0.62,0.65,0.01,0.95,0,0.55,0.08,0.82,0.26,0.46,4,0.59,Sweet Rock
Sewn,The Feeling,2006,0.24,0.32,0.56,0.14,0.61,0,0.27,0.07,0.69,0.06,0.69,4,0.22,Modern Rock
Kayleigh,Marillion,1992,0.16,0.68,0.57,0.02,0.67,0,0.18,0.08,0.74,0.05,0.49,4,0.6,Sweet Rock
Flowers On the Wall,The Statler Brothers,1996,0.09,0.64,0.79,0.8,0.45,0,0.73,0.1,0.62,0.13,0.46,4,0.79,Sweet Rock
Romulus,Sufjan Stevens,2003,0.19,0.52,0.73,0.91,0.23,0,0.36,0.1,0.46,0.06,0.55,3,0.52,Modern Rock
Perpetual Dawn,The Orb,1991,0.39,0.38,0.81,0.02,0.79,0.3,1,0.21,0.52,0.1,0.47,4,0.38,Sweet Rock
Supergirl,Reamonn,2000,0.16,0.69,0.67,0.14,0.51,0.01,0.55,0.08,0.67,0.05,0.53,4,0.38,Sweet Rock
Morning Bell,Radiohead,2000,0.19,0.61,0.65,0.72,0.46,0.29,0.18,0.33,0.6,0.06,0.65,5,0.39,Sweet Rock
"Baby, Let's Play House",Elvis Presley,2017,0.09,0.58,0.68,0.74,0.65,0.03,0.36,0.11,0.68,0.08,0.48,4,0.97,Modern Rock
Nothing's Gonna Stop Us Now,Starship,1987,0.18,0.9,0.65,0.03,0.8,0,0.55,0.06,0.8,0.04,0.44,4,0.54,Sweet Rock
In View,The Tragically Hip,2006,0.16,0.4,0.49,0,0.9,0,0.09,0.14,0.83,0.06,0.67,4,0.68,Modern Rock
My Old Friend The Blues,Steve Earle,1986,0.12,0.3,0.43,0.66,0.13,0,0.64,0.05,0.45,0.06,0.65,4,0.25,Sweet Rock
Vincent,Don McLean,1971,0.16,0.83,0.42,0.91,0.08,0,0.64,0.33,0.39,0.07,0.42,3,0.46,Old Rock
Faithfully,Journey,1983,0.18,0.81,0.2,0.1,0.64,0,1,0.1,0.79,0.06,0.39,5,0.25,Sweet Rock
Sunsets,Powderfinger,2003,0.15,0.7,0.29,0,0.86,0.04,0.18,0.08,0.84,0.07,0.77,4,0.71,Modern Rock
